"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 17:05:20 ICT 2024","Tue Jul 16 17:05:28 ICT 2024","7822","firefox","fasttrack.spec.js","Check login","","","Check login with case-sensitive email",""
"passed","Tue Jul 16 17:05:20 ICT 2024","Tue Jul 16 17:05:28 ICT 2024","8388","chromium","fasttrack.spec.js","Check login","","","Check login with case-sensitive email",""
"passed","Tue Jul 16 16:39:36 ICT 2024","Tue Jul 16 16:39:40 ICT 2024","4111","chromium","fasttrack.spec.js","Check login","","","Check empty data",""
"passed","Tue Jul 16 16:39:11 ICT 2024","Tue Jul 16 16:39:15 ICT 2024","4193","chromium","fasttrack.spec.js","Check login","","","Check invalid email: abc",""
"passed","Tue Jul 16 16:39:40 ICT 2024","Tue Jul 16 16:39:44 ICT 2024","3959","chromium","fasttrack.spec.js","Check login","","","Check empty email",""
"passed","Tue Jul 16 16:39:15 ICT 2024","Tue Jul 16 16:39:24 ICT 2024","9431","chromium","fasttrack.spec.js","Check login","","","Check invalid email: abc@example",""
"passed","Tue Jul 16 16:39:06 ICT 2024","Tue Jul 16 16:39:10 ICT 2024","4233","chromium","fasttrack.spec.js","Check login","","","Check invalid email: Cuong",""
"passed","Tue Jul 16 16:39:48 ICT 2024","Tue Jul 16 16:39:54 ICT 2024","6696","chromium","fasttrack.spec.js","Check login","","","Check login success",""
"passed","Tue Jul 16 16:39:44 ICT 2024","Tue Jul 16 16:39:48 ICT 2024","4059","chromium","fasttrack.spec.js","Check login","","","Check empty password",""
"passed","Tue Jul 16 16:39:24 ICT 2024","Tue Jul 16 16:39:30 ICT 2024","6073","chromium","fasttrack.spec.js","Check login","","","Check invalid email: abc@example.c",""
"passed","Tue Jul 16 16:39:30 ICT 2024","Tue Jul 16 16:39:36 ICT 2024","5260","chromium","fasttrack.spec.js","Check login","","","Check invalid password",""
